Distancias,Potencia_dBm
0.011282248259086167,-15.0
0.011383907080186736,-15.0
0.011618808530980532,-15.0
0.011851636758757356,-15.0
0.009924370381910564,-15.0
0.01052385160663429,-15.0
0.011157158613572145,-15.0
0.011925387538221524,-15.0
0.014066573642956964,-15.0
0.013455130023510689,-15.0
0.01281278356494573,-15.0
0.01233978998460161,-15.0
0.01235335064041424,-15.0
0.011725592686885708,-15.0
0.011328913204800685,-15.0
0.011233894291906138,-15.0
0.012829550328266963,-15.0
0.012701241820622919,-15.0
0.01276128524535654,-15.0
0.013058896311304137,-15.0
0.013572038505617666,-15.0
0.013967147364780769,-15.0
0.01311549781425355,-15.0
0.012668851642588156,-15.0
0.012321254343565416,-15.0
0.012109048222162744,-15.0
0.011282248259086167,-16.0
0.011383907080186736,-16.0
0.011618808530980532,-16.0
0.011851636758757356,-16.0
0.009924370381910564,-16.0
0.01052385160663429,-16.0
0.011157158613572145,-16.0
0.011925387538221524,-16.0
0.014066573642956964,-16.0
0.013455130023510689,-16.0
0.01281278356494573,-16.0
0.01233978998460161,-16.0
0.01235335064041424,-16.0
0.011725592686885708,-16.0
0.011328913204800685,-16.0
0.011233894291906138,-16.0
0.012829550328266963,-16.0
0.012701241820622919,-16.0
0.01276128524535654,-16.0
0.013058896311304137,-16.0
0.013572038505617666,-16.0
0.013967147364780769,-16.0
0.01311549781425355,-16.0
0.012668851642588156,-16.0
0.012321254343565416,-16.0
0.012109048222162744,-16.0
0.011639704822059312,-15.0
0.011773398193673073,-15.0
0.012030171067858558,-15.0
0.012383565000481949,-15.0
0.012160067021339411,-15.0
0.011959671889965159,-15.0
0.011848454607771172,-15.0
0.01179892855131106,-15.0
0.011627457804457826,-15.0
0.011381454114594767,-15.0
0.011247314578132737,-15.0
0.011113404616500734,-15.0
0.013648626204348627,-15.0
0.013418015476659785,-15.0
0.013237987063905608,-15.0
0.013177497179694424,-15.0
0.013417848981623563,-15.0
0.01328937900615555,-15.0
0.013235714387367748,-15.0
0.01323275469792926,-15.0
0.011802195355338909,-15.0
0.011745345343435366,-15.0
0.011722441053903498,-15.0
0.01167503463096975,-15.0
0.013237642976763504,-15.0
0.012955567674197073,-15.0
0.012650532467624561,-15.0
0.012413580280139353,-15.0
0.012730834210995792,-15.0
0.012526767660385709,-15.0
0.012442741922516053,-15.0
0.011802195355338909,-16.0
0.011745345343435366,-16.0
0.011722441053903498,-16.0
0.01167503463096975,-16.0
0.013237642976763504,-16.0
0.012955567674197073,-16.0
0.012650532467624561,-16.0
0.012413580280139353,-16.0
0.012730834210995792,-16.0
0.012526767660385709,-16.0
0.012442741922516053,-16.0
0.012402486993313226,-16.0
0.012160682410370459,-16.0
0.012123664768577428,-16.0
0.012120002651423227,-16.0
0.012130681656209216,-16.0
0.013771207273087577,-16.0
0.013664974474117048,-16.0
0.013678811188166943,-16.0
0.013826738987401737,-16.0
0.0136679189514486,-16.0
0.013342956589406115,-13.0
0.01304988953398364,-13.0
0.012952884246505763,-13.0
0.012974830224519653,-13.0
0.012374271354209888,-13.0
0.012689457602383648,-13.0
0.01327106367538086,-13.0
0.014089797841962935,-13.0
0.010919347034695428,-13.0
0.01081988284831936,-13.0
0.011049871495162499,-13.0
